id,u_id,name,position,active,age,handedness,catches,contract_end,cap_hit,signed_nhl,date_birth,drafted,height,weight,nhl_rights_id,nationality_id,place_birth_id,id,player_id,regular_season,season_id,league_id,team_id,captaincy,gp,gd,gaa,svp,ga,svs,so,w,l,t,toi,id,nationality,id,season
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,17,49,0,32,7,50,,2,,5,,10,,0,1,1,0,120,3,Canada,32,1917-1918
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,18,49,1,32,7,50,,21,,3.93,,84,,1,12,9,0,1282,3,Canada,32,1917-1918
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,19,49,0,33,7,50,,5,,3.6,,18,,0,4,1,0,300,3,Canada,33,1918-1919
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,20,49,1,33,7,50,,18,,4.27,,78,,1,10,8,0,1097,3,Canada,33,1918-1919
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,21,49,0,34,7,50,,,,,,,,,,,,,3,Canada,34,1919-1920
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,22,49,1,34,7,50,,24,,4.66,,113,,0,13,11,0,1455,3,Canada,34,1919-1920
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,23,49,0,35,7,50,,,,,,,,,,,,,3,Canada,35,1920-1921
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,24,49,1,35,7,50,,24,,4.12,,99,,1,13,11,0,1441,3,Canada,35,1920-1921
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,25,49,0,36,7,50,,,,,,,,,,,,,3,Canada,36,1921-1922
49,23175,Georges Vézina,G,0,,,L,,,0,1887-01-21,0,168,84,,3,39,26,49,1,36,7,50,,24,,3.84,,94,,0,12,11,1,1469,3,Canada,36,1921-1922
